Review,Rank
송강호 경찰 수사 레벨부터가 쎄~~했음. 언제적 살인의 추억마냥 주먹구구식으로 수사하는 시나리오라니.. 예상은 빗나가질 않고 최악의 전개..ㅠ전도현이 국토부장관임을 밝히는 씬에서는 레알 헛웃음만 나오는 개연성..ㅠㅠ...,1
"헛웃음만 나온다. 심파만 없기를 바랬는데, 기존 신파를 초월한다 ",4
두서없고 디테일하지도 않아 몰입이 자꾸 깨지는데 갑자기 신파까지 껴넣어서 총체적난국 이렇게 호화로운 캐스팅으로 이런 영화가 탄생하다니.. 내용은 모르겠고 배우들 연기 잘 하는 것만 감탄한 영화 ,2
아아악....!!! ,1
어느 음식 하나 만족스럽지 못했던 초호화 뷔페 ,5
임시완만...  빛난 영화 ,5
영화가 영화제목 그대로 따라간다. 이 영화에 비상선언을 내리고 싶다. 칸에서 남녀주연상을 받은 송강호 + 전도연에 이병헌 등 최고의 배우들도 이런 각본에선 어쩔 도리가 없다. 중반 이후 실소가 나오기 시작하면서 상상...,1
한국 신파 재난극 그잡채 ** 4D로 봐야 돈 안아까움 ** ,4
"진짜 오랜만에 영화보다가 참다참다 구역질이 나서 중간에 나왔다. 우연으로 점철된 떨어지는 개연성, 황당무계한 설정의 연속, 황당한 방향으로 치닫는 이야기 전개, 막판에 허접스러운 신파로 관객이 감동의 눈물이라도 흘려...",1
초호화캐스팅이 아까움. 너무나도 진부한 캐릭터와 지겹도록 봐온 뻔한 클리셰때문에 좋은 배우들 연기력이 전혀 살아나지 못함. 유일하게 빛난건 임시완밖에 없는듯 ,4
와 억지스럽다 감독이 반미 반일 감정을 꾸겨 넣었다는 사실을 안 순간 확깻다.시간내서 볼 작품이 아니다 너무 아니다 뭐냐 진짜  좌파 영화 만들고 ,2
초반부가 아무리 좋아도 전개가 납득하기 힘들다. 결국 추하게 퇴장한다. 다시는 이런 영화는 보고 싶지 않다. ,1
초반 후반 다른감독이 만든거같아요 후반은 왜 그렇게 만든거죠.. ,4
"정말 이정도로 산으로 가는 영화도 없을듯.. 연기빼곤 볼게없음.. 연출 촌스러움, 심지어 어때,숭고하지?라고 넣은 아리아같은 ost마저 촌스러움 ",4
상황실만큼이나 영화가 총체적 난국.지나친 메세지는 그만큼 흥행을 잠식하다. ,5
억지감동.. 스토리 엉성 좋은 배우들인데도 아쉽다 ,1
최근 한국영화에 신파걷어내기성향이 있는데 이러한 트렌드에 역행하는 역대급 신파뿌리기.... ,4
임시완 죽고나서 이야기가 산으로감 송강호 이병헌 가지고 뭐한거지 차라리 탑건을 한 번 더 보셈 ,4
영화 가편집본 보고 진짜 비상이길래 제목 비상선언으로 지은거 아니냐 ㅋㅋ ,3
방금보고 왔는데 송강호 이병헌 나오는 영화치고 기대이하인듯 억지감동 신파에 스토리도 뻔함 ,6
'그'가 나가고 나니 나도 나가고 싶어졌다 ,3
초반부의 긴장감은 정말 좋았는데 후반부의 상황과 감정들이 버물어지면서 이성과 감성을 다 뱉어내는 기분이다 ,4
초반은 부산행보다 좋았고 후반은 반도보다 안좋았다.. ,2
배우들 연기는 좋았으나 개연성 빵꾸가 너무 많아서 돈이 아까웠음 ,2
임시완이 비행기에서 사라지면 나오길 강력 추천함 ,4
다들 후반 후반 하길래 왜그러나 했더니 아... ,6
중후반부 부터 속으로 제발 그만해 외치게 되더라.. 영상통화 장면은 신파 거부반응 일으켜서 머리에 손 올리고 봤다.. 제발 그만해줘... ,2
제목이 대체 왜 비상선언? 비상선언 선포해서 되는게 하나도없는데..차라리 진격의형사가 나을듯 ,1
초반중반까지 긴장감연속이지만 후반에 갈수록 등장인물들에 감정에 치중한듯해 신파로 보여지며 영화집중을 막고 승객들을 살리기위해 주인공이 몸을 던지는 억지스러움이 나타나 보기 힘듬. ,6
구냥 그랬어요 이런거 또보고싶지않음 ,5
임시완 연기개쩔.. 소름돋았어요전체적으로 아쉬운게 많은 영화전도연이 맡은 국토부 장관캐릭터가 너무 무게감이없이 가볍고 스토리도 중반까지만 재밌고이후부터는 루즈해지고 마지막 장면뭘 표현하고 싶은건지 이해가 안되요마지막...,4
ㅇ ㅏ... 후반부가 많이 아쉽네요 ,5
한산 보고 봐서 그런지 억지감동 노잼.. ,4
시작부터 왔다갔다 편집이 어수선하더니 중반부턴 얘기가 산으로 감... 연기들도 그저 그렇고 갈수록 뭔가 싶음. ,4
재미있게 보는법 : 1시간만 보고 나온다... 전반부 흥미와 긴장감에 비해서 후반부 뇌절의 연속은 정말 참고 보기가 힘들었음. ,3
재미없으면 제발 짧게 만들어라..재미도 없으면서 길긴 드럽게 길다 ,5
영화 자체가 재난으로 비상선언이 필요함. 너무 말도 안되는 이야기에 캐릭터들도 답답하기만 하고 긴장감도 감동도 없다. 후반부 신파가 문제가 아니라 50분 이상 이어지는 억지 내용이 문제다. 거기에 가장 나쁜점은 상영...,1
흥미는커녕 메시지도 설득하지 못하는. ,4
할까말까도 적당하게해야지 긴장감있지 내릴까 말까 내릴까 말까 영구찍나?? 마지막 다달아서 내리던 뒤지던 좀빨리 끝냈으면 기다렸다 오줌마렵기도하고 ,5
"캐릭터 설정도 엉망인데, 이렇게 길 영화가 아닌데... 이전에 <관상>, <더 킹>, <연애의 목적>을 연출했던 '한재림'감독의 영화가 맞나 싶을정도. 비행기 항공씬은 ...",4
,2
전반부랑 후반부랑 다른 감독이 만든것같음.. 전반부에 쌓아올린 빌드업과 긴장감이 후반에 와르르 무너지고 늘어지기까지함.. ,5
초반부만 재밌었고...그냥 식상한 영화 ,2
끝맺음을 아는 빌런과 대비되는 끝내야 할때를 몰라 4절까지 간 영화 ,6
전반부 1시간은 역대급. 그 뒤로는... 걍 1시간 보고 나와라 ㅋㅋ. 임시완 연기 미침. 암튼 1시간은 재밌으니깐 5점 ,5
박진감 긴장감 있는 연출은 좋았지만 스토리가 많이 아쉬워요 전반적인 스토리나 설정이 딱히 재미있지는 않은.. 신파도 섞여서 뭘 표현하고 싶은 영화였는지 잘 모르겠네요 ,5
후반부가 별점을 다 깎아먹네요 ,4
소문난 잔치에 먹을거없네요 제가볼땐 정치적으로 해석될만한 요소가 곳곳에 자주나와 불편했어요 좋아하는 배우가 많았는데 너무 아쉽네요 ,4
초중반까지 쫀득하니 긴장감있었지만 후반갈수록 힘빠져버리네요. 개성넘치는 배우들로 뻔한 한국영화를 만든게 아쉬울따름입니다. ,4
하하하 실소가 터졌다 바이러스 생화학 테런데 바이러스 뿌린곳을 통제도 안하고 들락날락한다 바이러스가 노출된 테러범 집에 들어갔다 나온 사람들 전원 무사하다 이 영화는 대한민국 국민의 지능을 어떻게 생각하고있는걸까 코...,1
이런 초호화 캐스팅을 해놓고 이따구로 만든다고? 찐으로 화남...감상포인트는 그냥 배우들 연기뿐임 이런 스토리에 대배우들 연기하기 힘들었을듯... ,1
억까와 뇌절이 남발하는 영화.. 후반부에는 어쩌라고 라는 말밖에 안나왔다.그리고 좋아하는 배우가 있어서 보는거라면 크게 기대하지 않는게 좋음 출연하는 사람 너무 많아서 다 분량 적음 누가 주연인지 잘 모르겠는 영화 ,4
비상선언 ,5
감상포인트 없음 그저 졸작 할말없음 ,2
감독이 너무 하고 싶은 이야기가 많았나봐요. 너무 이야기가 산만합니다. 배우들이 아까워요. ,4
화려한 캐스팅...거기서 멈춰버린 비행 ,3
중반까지는 괜찮았지만 후반부에 급 추락해버리고 만다 ,4
"거창하게 외친 ""비상선언"", 변화는 없었다. ",3
아이맥스로 4명 가족 가서 봤지만 오랜만에 돈 아깝다고 생각함. 극장가서 돈쓰지 말고 집에서 봐도 충분한 영화. 전도연은 완전 미스 캐스팅... ,4
한재림 감독은 원래 용두사미인 게 흠이었음. 각본가 따로 고용하셨으면 함. 전반부와 임시완(류진석) 외엔 처참한 수준. 제발 화려한 배우들에만 기대지 마세요. 어차피 스토리 망하면 그 어느 명배우가 와도 못 살립니다...,4
이ㄱ ㅔ 뭐임ㅋㅋㅋㅋ ㅎ ㅏ ...말이 안나오네전 재미없었구요다른 분들은 재밌게 보실수도 있어요제 주관이니깐요 ,1
초중반 재밌다가... 나중에 힘이 딸리는듯 감독의 역량부족같음 ,5
망했어 투자금 회수나 가능할까? ,6
배우의 연기력도 그것을 잘 담아내고 발현시켜야 의미가 있다. 그런의미에서 배우들이 영화에 너무 아깝습니다 ,2
이병헌이 탑건찍고 오는줄 ,2
과유불급!마지막 30분 이상되는 후반부의 억지스런 설정과 전개에 좋게 봤던 초중부도 욕하고 도저히 참을수 없어 나와버렸다.외계인아 미안하다. ,1
이 더운 날 시원한 극장에서 2시간 앉아 있기도 힘들 정도의 핵노잼. ,2
"내돈 주고 오늘  4DX로 보고온  리얼  후기입니다제개인적  의견  이니 참고하세요 전반적 스토리 지루합니다. 4DX로 보실분은  음료수컵홀더에  놓지마시길,  넘칩니다 ㅎ장면 맞추려구 진동만쎄게 흔들어대는게  좀...",4
저처럼 멀미나신분 없나요..중반부터 속이 울렁거리더니..눈감고  있었네요..같이간 아들도 토할것같다고..ㅜㅡ비행기내 촬영씬 찍을때 카메라기법이 흔들리는건 알겠는데 지상씬도 계속 흔들립니다..돈..시간..다 아까운 영...,1
처음에 긴박하게 흘러가다가 테러범 안나오면서 긴장감 떨어져요 후반에 한국영화의 고질적 단점을 보여줌 ,5
안타깝고 불쌍하고 짜증나고 화난다 ,2
음... 뭔가 테러 스토리도 별루고....내용전개도그렇고... 후반부는 특히나...기대많이했던 영화였는데 아쉽네요. ,5
임시완 죽고 나서부터는 재미없어짐 마지막에 죽을 것 같던 김남길은 죽지도 않고 하하호호하면서 살아있고 송강호는 산소호흡기 차고 겨우 살아가고 있던데 이 정도면 비행기 승객들 다 죽고 송강호 꿈 엔딩이 아닐까 의심이 ...,4
후반 갈수록 루즈했어요... ,2
"이 영화를 무조건적인 ""비상선언""을 선포합니다. ",5
이 영화는 처음부터 끝까지 말이 되는 장면이 없음.  끝도 없이 무능한 정부에 기가 차서 말이 안 나오는 신파…. 영화 제목을 ‘자살선언’이라 바꿔라. ,6
배우들 땜에 기대하고 봤는데 넘 실망입니다. 아직도 감성팔이 영화가 있다니 ,7
낭비된 캐스팅.. 결국 한숨이 나오고마는 후반부.. ,6
여러가지 문제가 많지만 억지 신파가 문제 ,5
임시완이 나올 때만 흥미진진 용두사미 ,1
솔직히 초반엔 흥미롭다가 임시완 죽고 노잼 됨 ,5
점점 갈수록 여러모로 비상이긴 하다.. ,5
걍 재미없어요.. 초반만 볼만함 ,2
배우들의 명품 연기를 조잡한 신파와 이상한 스토리로 망친다.. ,7
설득력 부족. 개연성 부족. 이 배우들을 데리고 이런 시나리오와 연출이라니... ,2
도대체 이런 스토리로 저 배우들이 어떻게 캐스팅된건지 미스테리임 ㅠㅠ그마저도 임시완 없었으면 어쩔 뻔 했나 싶을 정도다! 초반 임시완 하드캐리 아니었음 진짜 지금보다 더 각박한 평이었을거라 생각한다어디서 되먹지 못한...,5
유명배우들 출연때문에 기대하고 봤는데.초중반까지의 긴장감은 괜찮으나 갈수록 연출과 스토리가 유치하고 대충만든 느낌 ,4
전반부의 감독과 후반부의 감독이 다른 사람인 줄 알았다. ,7
"초중반까지는 항공재난영화로서 몰입감, 긴장감, 빠른 전개로 볼 만 했으나 그 이후 진부한 스토리, 늘어지는 전개, 인물들의 갑작스러운 각성, 예상가능한 결말, 무엇보다도 어김없이 등장하는 신파 등으로 인해 단점이 장...",5
타이틀을 완전 무시해버리는 개연성 없음에 비상선언. ,4
뒤로 갈수록 뇌절... ,6
잘 나가다가 급격히 네거티브 G 받으며 고꾸라지는 비행기. 이정도 규모의 영화를 만드는데 이런 각본에 아무도 딴지를 안걸은 한국 영화계에 비상선언을 내려야할 듯. ,5
더 재밌을 수 있었던 영화를 감독 스스로 망쳤다 ,5
다 된 배우에 신파 뿌리기 ,5
많은문제점이 있는영화인듯 ,6
"사골을 진하게 끓이다 고기기름만 잔뜩 먹은 기분… 아쉽다, 초반에서 중반까지는 참 좋았는데… ",6
뭔가 좋은 재료들로 잡탕밥을 만들었네.. ,4
어설픈 메시지로 설득하려하지 마세요. ,6
너무 무난하네요. 스릴러로 갔으면 좋았을 것을 .. 임시완끼지만 좋았습니다. ,7
"시작은 창대하나 끝은 미미하리라,,, ",3
비상선언 비상선언 비상선언 ,1
잔가지를 더 쳐냈더라면 ,6
"글쎄요 ,,, 좀 억지눈물 짜내는 느낌이라 슬픈 내용인데도 눈물은 안 났네요 ,,, 내용이 신박한 것 같으면서도 후반은 좀 지루한 것 같기도 하고 … ",5
"임시완 연기가 역대급이고, 음악이 좋고, 초중반 연출은 긴장감과 박진감을 유지시켰으나 치료제가 있다고 언론에 밝혀진 순간부터 이 영화는 나락으로 서서히 떨어진다.억지 신파와 반미 반일 +이상한 진행 ",6
"이 영화는 올해 봤던 영화중 제일 최악이였다보고나서 시간,돈 너무 아깝다는 생각이 들었고개봉전에 칸에서 혹평 받고나서 편집을 했다고 했는데 도대체 왜 후반부 영상통화 장면은 남겨뒀는지 이해가 안간다억지  감동을 이끌...",1
2점도 아까움...보지마세요그돈으로 피자사드세요 ,2
재미드럽게 없고 그리고 기내식 요즘 누가 남의 것을 먹나요?? 한국 이미지만 이상해지지!!제발 그런 스토리 넣지마세요.ㅡㅡ ,1
초반부말고는 진짜 별로였습니다. ,6
기대이하입니다.. 실망... 이 좋은 배우들로 뭐하는 거예요ㅠㅠ ,6
흠냐 임시완의 퇴장과 동시에 영화관 나오면 좋을 듯 합니다 ㅎ ,1
초중반이 너무 흥미진진하고 흡입력있어서후반부가 진짜 아쉬웠다 좀 조절할 필요가 있었지 않았나 싶다배우들 연기는 너무 훌륭했다그래서 또 아쉬웠다상영관에서 후반부에 폰 보는 사람이 꽤 있더라.. ,4
영화가 비상임 이 화려한 배우들이 이 영화를 선택한 이유를 모르겠음... ,3
초반은 진짜 좋았는데 중반부터 일그러지더니 후반에는 처참하게 박살 ,5
"쓸데없는 장면과 늘어지는 전개. 그리고 개연성을 심각하게 날려버린 무너진 영화.... 감독의 메세지도 과잉이고. 배우들, 초반부 때문에 +1~2점. ",7
스토리가 좀 지루함~마스크착용 홍보영화…느낌?이병헌 송강호 기대좀 했는디~ 쪼매 아쉽소 ㅎㅎ ,4
"90분은 진짜 한국영화 많이 발전했음을50분은 한국영화가 가진 단점을 보여준다.시작부터 90분~95분 사이는 정말 ""와...""하는데그 이후 부터 ""아...""하게 된다.좋은 배우들과 좋은 ...",5
초중반까지는 괜찮았다고 생각되는데 후반가서 뇌절이오는거같은 느낌이들었습니다. ,7
뻔한 느낌이 없지 않아 있다 ,6
임시완 싸이코패스 연기 빼고는 건질게 없다. ,4
영화보다가 뛰쳐나가고 싶었던 영화는 처음... ,1
"출중한 연기력, 그걸 받춰주지 못하는 각본. ",6
스케일에 비해 아쉬운 후반부. 욕심이 과했다. ,6
굳이 질질끌면서 영화시간을 길게 잡을 필요는 없었다 ,7
초중반엔 긴장하면서 보다가 후반에는.... 너무 과한 느낌... 많이 아쉬웠어요. ,6
이 배우로 이런 영화를... ,5
중반까지는 좋았는데 후반부 너무 이상... 후반부는 진짜 총체적난국 그자체 임시완 김남길만 살아남은 영화 솔직히 둘 아니었음 이 별점도 안줬다 ,6
내용이 중구난방이고 너무 억지스럽네요. ,5
임시완의 빠른 퇴장과 함께 재미도 함께 퇴장 ,6
쓸데없이 너무 길다고 느꼈어요. 초반엔 임시완씨 연기보는 맛이라도 있었는데 후반은 진짜 조금힘들었습니다. ,6
아쉬움이 있다. 뭔가 더 잘 만들수 있을 것같은데 ,7
미국이나 일본의 입국거부는 충분히 있을수 있는일이라 그러려니 봤다. 그런데 인간성이 말살된 일부 여론... 거기에 흔들려 착륙을 거부하는 무능하기 짝이 없는 정부... 거기에다가 그 반응에 희생하겠다며 울고불고하는 ...,6
기대안하시는게 ,6
증말 엉망진창이다 ,4
관객을 모르모트 취급하는 전개 ,2
신파 몰아치는 장면만 통째로 들어냈으면 별점 더후하게 줬을텐데 아쉽 ,7
"사무치는 무력함과 이기심, 그리고 한 줌의 책임감이 장황하게 전시된다. ",5
영화 스스로가 포기를 해버린다 ,5
초중반까지 흥미진진...갈수록 답답해지고 뻔한 스토리.. ,6
영화가 너무 길어 몰입감이 떨어지고 억지 감동이 좀 오그라드네요배우들 연기덕에 그나마 6점이요 ,6
용두사미 영화임시완의 연기만 제대로 빛났다 ,6
초중반의 전개가 신파로 무너져내린다. ,5
"악역이 죽는 순간 까지는 수작, 그 이후로는 망작. ",4
신파속에 숨겨놓은 너무나도 위험한 프로파간다 ,7
"신파도 과하면 독이된다는 것을 보여주는 영화. 좋은 소재, 유명배우들 가지고도 실패하는 영화. 쓸데없는 항공표류기. 단 4DX로는 볼만함. ",6
후반부가 많이 아쉬움 ,4
체계가 잡히지 않은 방역 같은 영화 ,6
"언제까지 초호화 캐스팅, 기술력에만 의존할 거냐 이 정도면 관객 수준을 무시하는 거 아닌가 배우들 연기는 당연히 뛰어났지만 대체 이 작품이 뭐가 매력있어서 선택한 건지 모르겠다 임시완 분량 끝나면 나오시길 추천드립니...",3
