Review,Rank
"건즈 앤 로지스, 에냐 등등 명가수의 명곡은 다 가져다가 썼는데, 스토리가 너무 형편없고 개연성도 엉망이고 밸런스도 엉망이고 영화가 진행될수록 한숨만 푹푹 나왔다. 12세 이용관람가로 지정됐으면, 초등학교 저학년 친...",2
마블이 본인들 주 관객층을 잘 알고있다 그냥 애들보는 영화 ,3
토르는 다시 존잘이 됐는데 뭐지 이 영화... ,5
"유치한 전개와, 몰입을 깨는 pc, 억지 코미디까지 마블은 상업 영화의 가치도 잃고 있다. ",2
Pc떡칠 영화. 크리스찬 베일이 멱살잡고 끌어나감 ,7
마블 영화들은 어째 가면 갈수록 마무리를 죄다 구질구질하게 풍둔 아가리술로 해결하려는거 같냐. ,6
"끔찍한 영화다.마이티 토르 개허접,욜니르들고 내려칠때 창피스럽다.마블영화의 그 무게감은 어디갔슴??cg허접  내용 유치,동성커플들의 향연!!매버릭 세번째 볼걸!! ",1
눈을 질끈 감게 만드는 뜬금포 개그들과 전개....차라리 탑건을 볼걸... ,2
내 살다살다 마블영화 보고 돈 아까운게 처음이다 ,1
토르 내리고 탑건 매버릭 아이맥스에 다시 올려주세요! ,2
다시는 엔드게임 때로 돌아오지 못할 듯 싶어서 너무 아쉽다. 하.. ,5
토르 영화마다 나오는 토르 연극을 1시간 반 동안 보는 것 같다. ,3
뭔가 아이들이 나오는 모든 장면에서 몰입감이 확 깨지는 느낌? 심지어 마지막 전투에서 아이들 싸우는거 보고 너무 뜬금없어서 '이건 뭐지...'싶었네요 ,1
왜이렇게 밍숭맹숭한지.. ,2
개똥같네 ,1
어제 IMAX 로 보았고 관객석 거의 만석 . 졸고 계신분을 봤습니다. 한편의  고전 드라마를 보는것같.. 집에서 VOD 로 보는것을 추천합니다. 마블은 이제 안녕인가? ,1
3에서 끝냈어야지.. ,1
보는게 너무 힘들었고 2시간이 이렇게 길게 느껴진건 오랜만이다 ,3
평이안좋아서 기대안하고봤는데 전 재밌었어요 토르팬이고 약간 화려하고 유치한걸 좋아하기도 합니다 ㅎㅎ 시원한영화였어요 ,9
유치 끝판왕.  마블 그만 보려구요 ,1
어린이용. 염소 월급 올려줘라. ,5
나쁘지도 않고 그렇다고 너무 좋지도 않고 딱 중간 정도.무난하게 보기 좋은 영화입니다.라그나로크를 너무 재미있게 봐서 그런지 너무 기대했나봐요 ㅠㅠ그래도 크리스찬 베일의 연기는 진짜 압도적이였습니다.개인적으로 역대 ...,6
염소울음소리만 뇌리에 박히는 영화 ,1
난 배우들이 좋아하는배우들이라 아주 간지나고신나고재밌었음 ,10
인피니티사가 이후로 빌드업을 열심히 하고있지만 갈피를 못잡는 느낌..예전처럼 다회차는 못해도 한번씩은 챙겨보긴할께요.. ,5
탑건 프리미엄관 돌려놓았으면 ,6
나만 죽을 순 없지 히히ㅋㅋ ,10
역대 최악의 토르영화1편보다 별루임 ,1
하.. 중간에 나갈까 5번 고민하다 억지로 다봄.. love?ㅋㅋㅋㅋ 얼탱이가 없구만 ,1
아...아...그냥 아쉽다.. 심지어 보다가 졸았다... ,4
아니 분명 좋은 부분 장면들은 있는데 왜 살리질 못하니... ,5
탑건이나 한번 더 볼껄.. ,5
굳이 왜 나왔는지 모르겠는 4편.... ,4
도대체 왜 이렇게 된거지 마블이.. 액션 연출력도 많이 떨어졌네 ㅠ ,1
라그나로크를 기대하면 안되겠어요 여러분 ,6
……..추천할 감상포인트가 없는데.. ,1
개그 욕심에 불균질한 톤을 가지게 된 영화. ,6
탑건을 차라리 한 번 더 보세요…. 하 왜 봤지. 스토리가 물음표 그 자체 ,1
아 관람내내 이렇게 리액션없는 마블은 처음이었다. ,4
토르 영화 특유의 피식피식하게 하는 개그는 그래도 좀 취향이었지만 그 외는 처참했다 고르 애썼네 ,3
실망스러움 볼거리는 토르 엉덩이밖에 없음 그나마 재밌거나 멋있는 장면은 예고편에서 다 나옴 ,2
"코믹함과 진지함의 밸런스를 놓쳐버려서 경박해져버린 안타까운 영화가 되었다. 크리스챤 베일의 헌신이 그나마 영화를 살렸을 뿐.긴장감을 더 조이고, 코믹함과 경쾌함을 좀 더는 연출을 했다면, 상당히 괜찮은 작품이 될 뻔...",5
난 잼던디... 평점 왜리안좋음 ,10
개똥 PC와 억지 개연성이 망친 환장의 콜라보 ,1
"마블영화 엄청 좋아하고, 반복해서 보는데... 이번 영화는 보면서 지루함을 느끼네요. ",6
장르: 어린이 히어로 영화 ,5
전형적인 킬링타임용 마블영화~ 유치뽕짝한 장면이 없잖아 있지만 뭐 히어로 영화 대부분이 다 그렇지 머 ,8
마블영화의 종말을 보았다. ,1
염소들에게 내 모든 별점을 보낸다 ,6
역대 최고 마블 실패작인듯... ㅠㅠ 너무 졸려서 자불다가 옆에사람 코코는소리에 깻다.. ,1
"와… 파워레인저보다 못한 액션, 발할라로 가버린 개연성.. ",1
장난하나 ,1
어쩔토르 저쩔토르 뇌절토르 ,3
엔드게임 끝나고 블립되셨었나...아니면 다른 지구에서 오셨나...파이기 형님...이터널스부터 갑자기 왜 이래요...ㅡㅡ ,1
건즈 앤 로지스 노래가 아깝다. / 유치해서 아무도 안 웃는 개그인데 너무 많이 나옴 / 토르 3 오프닝과 Immigrant Song씬의 전율은 한톨도 찾아볼수 없는 밋밋한 액션씬 / 토르3에 비해 영화가 한없이 가...,4
