Review,Rank
지루하다. 쓸데없이ㅜ욕은 많이하는데 전혀 살지가 않는다. 우리들의 블루스보다 이거보니 학예외 하는것 같은 연기 수준이다. 2류 히어로들 에스컬레이드 타고 나오는 전개나 주인공 힘순찐이나 농장 로케나...1편과 전개가...,6
박훈정이 감독 그만해야 쓰것다 ,1
했던 이야기 반복하는 느낌. 전편에서 한발짝 나아가질 못한다. ,5
137분짜리 마녀3 예고편 ,7
1편과 달리 액션은 없고 무슨 초능력? 넘 시시함.. ,4
1. 신시아 귀엽다2. 김다미 개 멋지다3. 중국 냄새 나는 부분들 극혐4. 욕이 너무 많다(불필요하게)5. 대사나 연출이 너무 유치하다    (액션 중간중간 슬로우모션 포함)6. 억지스러운 신파를 위한 루즈하고 불...,5
일본 중국 b급영화 보는줄 노잼 감독님 화면 빠르게 돌린다고 액션이 아니에요 ,1
배우는 잘못 없어요 능력없는 감독이 잘못함 ,1
마지막 구자윤이 다한 영화...마녀 1의 구자윤은 기억에 남지만..마녀 2의 마녀의 이름은 기억이 안난다... ,8
중2병 감성 빼라니까 화나서 들이부었네요.. ,4
어후 오글거려 코리안 히어로 무비 ,4
김다미 주연으로 이어졌어야 했는데..그래도 3편 기다린다 ,6
서사는 없고 액션은 과하고 ,6
마녀 1을 보고 너무 기대해서 보았는데 많이 아쉬웠다....3제작을 위한 2인것같았다 . 1만한 2는 없다 생각들었다. 첫 시작과 김다미배우님 나오고나서 마지막 부분빼고는 뭐지? 무슨 내용이지? 이런 느낌이었다 cg...,2
액션 좋아해서 재밌게 봤는데 대사가 아쉬움 불필요한 욕 너무 많이 함 3편 낼거면 좀 고쳤으면 ,9
모든 대사를 통털어 제일 많이 나온 대사가 tlqkf이라는게 충격적일 뿐이다. 3편을 위한 2편인거 같은데 이럴거면 그냥 2부작으로 하지 이게 뭔지.. 전작에 김다미랑 최우식배우에 꽂혀서 모처럼 쉬는날 기대하면서 보...,1
2를 이따구로 만들고 3 만들 생각했냐 ,2
처음으로 평점을 적게 만드네요….같이보러온 남편에게 미안합니다 ,1
. . .쓸때없는장면이 너무많아담배피는것도 리얼하지않아 ,1
3류 영화로 만들어 버렸구나.... ,1
한국판 중국식 무림영화 ,2
커피 잘못마셔서 밤새고 조조로 보러갔는데 영화시작 30분만에 숙면을 취해버림  참을수가 없더라 스토리 풀어가는것도 느리고 액션씬은 나루토 드래곤볼마냥 ㅋㅋㅋ 주인공도 몸싸움은 잘안하고 초능력만 펼쳐대며 싸움 극중에 ...,1
마녀1에 비해서 더 유치해지고 오글거려졌습니다. 대체 이걸로 무슨 유니버스를 짜겠다는건지도 모르겠고 감독의 의도가 이해가 안됩니다.오타쿠 감성이 들어간 작품들은 생각보다 많습니다 그걸 세련되게 푸느냐마느냐는 감독의 ...,5
ㅈㄴ오글거림ㅋㅋㅋㅋ ,4
"너무 실망ㅜㅜ 1편이 좋아서 개봉날 기다려 바로 보았는데요,, 네,,참담합니다외국어 ..살리지도 못할 외국어.. 스토리 개연성 개떨어짐 .. 이정도면 관객 기만 아닌지.. 극장가지마세요 김다미 배우님 부분 외에는 눈...",2
"마녀 세계관이 꼭 생겨서 큰 유니버스가 될 수 있기를...조금 오그라드는 것 같기도 한데, 이것도 매력이니까 ",9
주인공인 소녀이야기는 반틈도안나오는듯 ,4
스토리에 신경안쓰고 무지성 액션 좋아하면 강력추천 마녀 시리즈는 액션 하나로 다 먹고 들어갈듯 ,10
특유의 짜치는 감성도 여전. 신선함이 무기였던 마녀1에 비해선 차별화된 메리트가 없는 영화. ,3
등장인물들이 어린걸 감안하더라도 쓸대 없는 욕이 너무 많음. 피보다 조폭 영화보다 욕이 더 많이 나오는 영화는 첨인듯 ㅎㅅㅎ ,2
내가 예매한게 마녀가 아니라 마블이었나 ? ,10
