Review,Rank
드라마가 BL 판타지였다면 영화 버젼에는 부족했던 현실성도 첨가. BL 판타지만 가득했던 드라마 팬에게 현실적 퀴어 요소 첨가로 사랑이라는건 판타지만이 아닌 현실이라는 요소도 있음을 감독 입장에서 상기시키는 느낌. ...,10
후반에는 눈물이 주루룩... 잔잔하게 가슴을 울리는 영화였어요... 체리마호 드라마는 안보고 대충 내용만알았는데 드라마 정주행하러갑니다...?? ,10
"아카소,마치다 넘 좋아하는 배우인데~~보는것만으로도 훈내 폴폴인데....왜 드라마보다 재미없지 ㅠ ㅠ ",5
별생각없었는데 가슴이 아린채로 나왔다.... 머야이거... ,10
사랑을 느낄 수 있는 영화여서 보는 내내 웃음이 나왔어요 ,10
"여자만 밝히는 편협한 애정관을 가진 남자들이 꼭 봐야만 할, 이 시대의 인류애 지침서. ",10
이거 일드 보신분들은 꼭 보세요! 힐링 그 자체! ,10
판타지 요소는 빠지고 로맨스만 가득. ,6
쿠로사와 아다치 영원해 ♡ ,10
드라마의 연장선으로는 좋으나 영화로서의 재미는 떨어진다 ,6
너무 뻔합니다.. 그리고 가족이 이렇게나 쉽게 받아들이고 결혼(파트너쉽)까지 이어지는 것이 정말로 판타지스러웠습니다. 원작 드라마 팬 아니면 보지 않는 편이 좋을 것 같습니다.. ,3
"내 인생을 망치러 온 나의 구원자, 쿠로닷치...드라마 처럼 따뜻하고 편하게 볼 수 있어서 좋았다.다소 지루할 수 있지만 그것이 이 영화만의 장점이였던 거 같다.비현실적이지만 현실적인 이야기로 행복할 수 있던 영화 ",10
하...이런 것도 영화라고.. ,1
로맨스만 가득해서 조금 지루 ,1
내가 너무 현실에 찌들었는지 일본 특유의 감정선이랑 안맞아서 그런지 전개가 뻔하고 재미없었음영화보면서 다음 대사도 속으로 맞춤 ,7
,10
자극성 가득한 요즘의 영화 시장에서 보기 드물게 순수하고 따뜻한 영화였습니다.할수만 있다면 나도 그들처럼 사랑하고 싶어지는 영화. ,9
참으로 유치하다~~ 3류로맨스~ ,1
