Review,Rank
"상영관 왜이리 없나요 최근 몇년 내 본 영화 중 최고! 진정성, 안타까움, 울컥하게 하는 영화! 스크린 내리기 전에 다들 보길! ",10
화려함속에 가려진 비극 ,9
너무 재밌는데 긴 러닝타임에도 부족한 느낌과 긴 느낌이 같이 있음 ,9
톰 행크스 이렇게 열받게 연기하는거 처음봄 ㅋㅋㅋ ,8
엘바스역의 청년 오스틴 버틀러의ㅜ연기가 눈부십니다. 빙의한듯 신들린 연기. 시대의 뮤지션에게 이런 스토리가 있는 줄 몰라서 엔딩무렵엔 눈물이 나기까지. 긴 상영 후 크레딧이 다 올라갈때까지 아무도 일어서지 못하는 영...,10
원래는 엘비스의 느끼한 외모와 목소리를 싫어했는 데...영화를 보고 나의 선입견과 편견이 와르르....외모도 목소리도 완전 매력적!!! 다시 보고 싶고 듣고 싶어 2번 관람까지!!! 또 보고싶다!!! ,9
오스틴 버틀러 접신한줄..연기 진짜 최고입니다. 5회차 했는데도 계속 보고싶어요특히 돌비는 진리입니다 무조건 극장에서 보세요!! ,10
끝에 엘비스 생전 마지막 공연영상때 울컥 ,9
이동진 평론가 평대로.. 폭죽같은 영화다. 바즈루어만의 화려한 연출이 오히려 더 슬프게 다가온다. ,10
이토록 화려해서 마지막이 더 아린 듯한 영화 ,9
몇 년만에 이렇게 가슴뛰는 영화인지 모르겠습니다.오스틴버틀러의 접신한 듯한 연기와 바즈 루어만 감독의 연출이 어우러진 너무나 수작입니다. 극장에서 빨리 내리는 것이 너무나 아쉽습니다. ,10
영화 끝나고 눈물이 멈추지 않고 계속 엘비스 노래를 흥얼거리는 부작용이 있읍니다. ,10
음악을 좀 더 즐길 수 있는 씬이 있었다면 좋았을 듯 ,6
오스틴 버틀러 연기 정말 잘하네요. ,10
배우들 연기 최고입니다. 영상미도 굿 ,10
최고의 연기 엘비스가 살아돌아온듯한 느낌이었습니다. 154분간의 영화를 보면서 엘비스가 본인만의 로큰롤음악으로 공연을 하는 장면장면을 볼때마다 울컥했네요. ,10
와 콘서트 잘 보고 왔습니다 ,10
배우가 엘비스를 집어삼겼더라 진짜 미쳤음... ,10
오스틴 버틀러의 완벽한 재현. ,7
진짜 한번은 부족하다 여러번 보구싶어요 ,10
나이가 들어감을 걱정하고 더이상 사랑받지 못할까봐 걱정하던 엘비스에게 말해주고싶다손녀뻘인 내가 지금 당신 덕질을 하게생겼다고 ,10
오프닝 여자들 소리지를 때 나도 같이 소리지르고 싶었음 ,9
상영관이 왜 이렇게 빨리 내려가는지 ㅠ2시간 반이 지루할 틈이 없었어요 ,10
엘비스 프레슬리를 잘 몰라도 재밌게 볼 수 있습니다. 영화관에서 보는 걸 추천합니다! ,10
"엘비스의 인간으로서의 장면, 그리고 음악이 흐르는 장면의 조화가 좋았다 ",10
화려한 스타의 뒷모습에 대해 더 초점을 맞춘 영화 ㅠㅠ 보고 나니 괜히 우울해진다. 하지만 엘비스 노래들만큼은 최고!! ,9
개인적으론 보헤미안랩소디 보다 좋았어요. 상영관이 적어 너무 아쉬워요 ,9
그냥 좋았고 눈물났어요 ,10
"대령이 진짜 엘비스를 상품, 수단으로밖에 안 봤구나...인간쓰레기 ",9
그 시절 존재하지 않았던 자유와 융합에 대한 저항의 의지 ,8
아니요 상영관 무슨일입니까 이렇게 좋은 영화를 왜 ㅜㅜ 못보게 하시는겁니까? 다들 진짜 많이 봣으면 좋겠네요영화 보고 유튜브 영상 죄다 엘비스에 오스틴버틀러네요 ,10
