,comment
126,페이즈  의 시작을 알리는     앤트맨  가 제발 페이즈 라는     암흑기를 뛰어넘기를 기대합니다              오늘도 올원님 분석 잘 봤어요             페이즈     사이의 작품은 다음과 같답니다         영화        페이즈         년     블랙팬서   와칸다 포에버               페이즈         년     앤트맨과 와스프  퀀텀마니아         가디언즈 오브 갤럭시               더 마블스         블레이드           년     캡틴 아메리카  뉴 월드 오더         썬더볼츠               페이즈         년     판타스틱 포          년     어벤져스  캉 다이너스티         어벤져스  시크릿 워즈            드라마    페이즈         년     변호사 쉬 헐크         가디언즈 오브 갤럭시 홀리데이 스페셜               페이즈         년     시크릿 인베이전         에코         로키 시즌          아이언하트         아가사  코빈 오브 카오스          년     데이더블   본 어게인               페이즈     작품 미정             아래 왠 병신이 댓글을 병신처럼 달았던데 병먹금 아시죠  병신한테 먹이 금지      선호 채널 보니 일베충이던데 왜 이런데까지 와서 똥싸는 소리를 싸지르는지    
127,너 이새기   귀엽네  저런건 어디서 퍼오는거냐  아니면 나무위키보고 하나씩 복붙하는거냐 
128, 김비트 자기소개 
129,            너 마블 페이즈 개념 뭔지 모르지  따봉 누른   명도
130,힘내세요
131,항상 올원님 영상만 기다리고 있어요  품격있는 좋은 영상 꾸준히 만들어주셔서 감사합니다 
132,                                                                                    백신을 맞지 않는 게 트롤짓이다     라는 제 개인의 의견이 아닌           백신을 맞지 않으며 트롤짓을 하고 있다는    때문에 제작 지연 하차 등등  등의 국내외 보도들  영상 내 헤드라인 보도들      를  가리킨 건데요         오해의 소지를 일으킬 수 있는 워딩과 편집 방식으로 몇몇 분들에게 불편함을 드린 것 같습니다     앞으로의 편집 과정에선 좀 더 심혈을 기울이도록 하겠습니다                                                                                        그리스 신화  북유럽 신화     오늘도 많이 배웁니다         와칸다    포에버                                                        블랙팬서  가 돌아온다        쉬헐크     가오갤                                                                                                                               
133,와칸다 포에버   
134,형 이건 표범띵크 어때 블랙팬서가 흑표범이자나
135,표범 띵크 갑시다
136,이런 걸 걸고 넘어지는 사람이 있다니    
137,                                      
138,마지막대작이 마지막희망으로        
139,월래 내일 나오는거였네   
140,구독 
141,오이띵크  천둥띵크  범배띵크 이렇게 합시다     
142,                                                                              사고 치기 좋아하는 애라구  너같이 
143,                                                                           냥냥띵크 어떰  
144,발할라는 그리스신화가 아니고 북유럽 신화에요   
145,간다띵크
146,그리스신화 발할라           북구신화 발할라 입니다
147,응 아이언맨 두 안봐      다  남자없에구  여자만 나오네    
148,응 블랙망함 안봐    
149,발할라      메르시의 발할라를 향하여에 그 발할라인가   
150,배우님의 명복을 빕니다                                   퓨파 블팬 상향좀
151,수오피아 아줌아 어굴보니 좋으네요
152,대영제국이다
153,내가 와야 했어                                                                                                                                                               
154,이제 마블도 재미 없겠다
155,발할라가 그리스신화  북유럽신화인줄 아뢰오 
156,거믄 띵크
157,뭘 고민해 무조건 이 범배띵크 로 가자
158,애옹띵크
159,흑표범띵크로하자 형
160,                                                                                 띵크형 영상 잘보고있는데 이거보고 넘 웃겨서 구독박았어
161,와칸다는 블랙띵크가자
162,발키리가 완다 부활  시킬듯
163,블랙팬서 역을 맡았던       채드윅 보즈먼       이 생각나는 영화가 되겠네요   
164,구독 눌러주지
165,뇌출혈후유증이오면길게는평생보통은 년넘게걸려요      재활이그만큼힘듬니다   
166,      주인공께서 타계하셨는데요 
167,                                                                            이제는 이런 일들이 없어지길    바라네요    할리우드 영화드라마 에    한국 배우들이  한국 영화드라마 에    할리우드 배우들이 함께 나와서 이런    불상사가 없어지길   
168,흰신은 효과없는거라 기사도    나왓는데 그리고 흰신 접종 하든    안하든 자유이지  슈리 배우에게    뭐라 하지마세요 
169,아이언맨 살려내라     
170,발키리가 사람을 살릴수있다면 아이언맨좀 살려내지
171,난 저거못본다   너무 슬플듯     
172,블랙팬서 가 딱 제 생일에 개봉해서    친구들이랑 보러갈려고 합니다                 어케 표현했을지   
173,내 기억에 블랙팬서   채드윅 보스만 인데   
174,아이언맨 부활시켜줘여
175,사취기조우아하는애라고  너가치이      애니보다 몸매가 딸리는 가모라닷 
176,사고치기 좋아하는 애들이라구우 너가치이        
177,와칸다 띵크 뽀에버 
178,블랙띵크 
179,블팬 는 표범띵크로 가죠
180,                                                                           사구칙히 조하하누 리락후
181,                                                                           더빙 좀 하지    
182,저    가 저군요    
183,마지막 대작은 아바타임
184,역시 이 형 영상은 구독안하고 봐야 꿀잼이야      
185,슈리가 블랙팬서되면 걍 안 봄   마블 요즘 그냥 뭐만하면 여성  성소수자  흑인  장애인 어떻게든 넣으려고 하는거 진짜 왜 그러는지 모르겠음
186,영상 구독 좋아요 엔딩에 나오는 음악은 뭔가용  너무 좋네요   
187,블랙팬서 블랙캔서
188,백신은 개인의 자유인데 그게 왜 트롤짓임 
189,블랙 띵크
190,블랙띵크    
191,와깐띵크
192,에버띵크
193,발할라는 북유럽 전승아닌가   발키리랑 토르가 그리스 신화에 나왔다고 하는거랑 같은 소리  
194,아싸    안에 들었다   
195,아이언하트는 그렇다 왜 아이언하트가 아이언맨 후계자라는 거지    내가 삼성폰 부품 구해다 똑같이 만들면 이재용 후계자냐 에후
196,채드윅 보스만이 아이언맨급 위압감을 줘버려서  누가 나오던 그정도의 느낌은 못받을 듯   
197,블랙펜서  편은 진짜 재미있었음   힙합   
198,고인의 명복을 빌어요       진짜 멋있었는데
199,이형 너무잘설명해서 구독합니다  
200,무띵형의 흑표띵크 가즈아   
201,소식은고마운데 잔말들과 쓸데없는리액션좀작작하시면됩니다
202,                                                                           북유럽 신화입니다
203,형 그리스신화속 발키리능력이 아니구 북유럽 발키리에요
204,기승전 구독 짜기에 못버티고 눌러버렸     항상 잘 보고 있습니다   
205,채트윅 보스먼 형 보고싶다   
206,아줌마 뭐라는지 알았다  사고 치기 좋아하는 애라구  너가치 
207, 분  초  그리스신화속 발할라  북유럽신화속 발할라  아닌가요   
208,영원히 고통받는 병헌이형
209,어차피 못 알아보는 신인 흑인 여배우 갈아 치우면 될것 
210,아 블팬배우 암으로 돌아가심 
211,범배띵크 어때요
212,          
213,     칸다띵크     로 합시다
214,채드위 보스만 짱짱이였지만   슬프군요 삼가고인의 명복을 빕니다 
215,발할라가 그리스신화    맙소사  
216,원작에서 발키리씨는 백인인데  왜 영화에서는 흑인으로 만들어 놓은것입니까 
217,니키아인지 나키아인지의 한국말은 알아듣겠는데 부산아줌마의 한국말을 못알아들어서 극장에서 존내 당황했던거 기억난다     
218,토니 살려주면 좋겠다
219,니주가 길어 사족투성이
220,원래 히어로 장르는 남성이 주 고객층인데 당연히 남성 중심적 스토리텔링에 남성주인공이 다수일 수밖에 없었다     그러다 그걸로 인기 끌고나자 개연성 없이 여자로 주인공을 싹 바꿔버리는데 코믹스는 원래 볼놈들만 보는거고 영화는 그딴 식으로 하면 점점 망할듯     아직까지야 엔드게임빨 남아 있으니까 흥하겠지만
221,빼빼로 먹으면서 봐야하나   
222,영화살려고하면 돈많이 나가겠다    
223,아   음바쿠형 좋아햇는데 개굴이노   
224,배우들 트롤짓 안타까운 사고 몸값급상승으로 인해서 세상에 나오지 못한 명작의 후속작들이 너무 많은데    딥페이크가 좀만 더 발 전하면 이젠 그런일도 없겠지 
225,블랙팬서 고양이과니까 야옹띵크 하자 형
226,구독 꾸욱     
227,조던 살려주길
228,                                                                           그리스 신화속 발할라     토르가 그리스 신화속 신이였구나          발키리가 오시리스 여동생이라도 되나봐      아스가르드가 알고보니 올림포스 뒷동네라도 되는듯    
229,     소피아 아줌마                  
230,블랙팬서 와칸다 포에버는 표범띵크   
231,아니 아이언맨도 흑화했네 엽겹다   
232,그능력으로 아이언맨 부활시켜주세여 
233,흑인 슈퍼맨  흑인 스파이더맨  흑인 캡틴아메리카는 당연한 권리처럼 표현하다가 백인 블랙팬서 라니까 아주그냥 입에 개거품 물고 난리치는 인간들이 본인들은 인종차별주의자가 아니라고 착각
234,음바쿠가 블랙팬서를 맡기엔 몸뚱아리가 너무 거대하지 않나     뚱땡이 블랙팬서     차라리 죽은 줄 알았던 킬몽거를 부활시켜 맡기는 게 나을 듯   
235,누가 구독안하고 보내  아 나구나   구독했습니다
236,표범띵크    
237,아직도 백신 음모론 믿는 병신이 있냐
238,블랙띵크
239,발할라는 그리스가 아니라 북유럽 신화임다    토르도 마찬가지구요 분   초 위치 부분 수정 필요함다
240,발키리가밝히리 므흣
241,발키리 떡밥 마이티 토르에 대한 떡밥 아닐까요 
242,가모라 누님도 초콜렛 먹을수 있는 그날까지    매일 당보충을 과일로 하시는   
243,  주의에 미친 마블 망작길 가는거지  스타워즈     말아쳐먹은 디즈니 답다
244,가자 음바쿠       
245,범배띵크
246,케빈 파이기가 잘도 알아서 하겠다    
247,너무 많이봐서 구독안한줄몰랐는데 이제구독함        
248,    년 개봉하는영화중 가장 기대되는 영화입니다  영상 정말 잘 만드시네요 영상 감사합니다 최고 조폭영화는 매우궁금하시죠   놀라실겁니다 한번와주세요  연기자 연기력 최고네요  몰임감이 최고 로 좋게 리뷰하시네요  꼭 볼게요  
249,                                                                           쯤 사고 치기 좋아하는 애라구  인듯 겨우 알아냄
250,그래도  구독 해놓고 시청수 안나오는거 보단 낫잖아  
251,케릭터만 너무많아져서 솔직히 난 별루
252,형  인지 모르겟지만 띵끄형 난 옛날깟날에 구독 눌렀다  
253,왜 구독이 빨간색이지       클릭      
254,제가 그렇게 비중있냐 다른사람써도 못알아본다 
255,그 죽은애 다시 살려내자 킬몽거
256,걍   로 범벅질한 영화라 보기싫음 
257,발키리씨 부활시킬수 있으면 아이언맨좀 살려듀오      제발   
258,음바쿠형도 나쁘지 않음  글로리 투 하누만 
259,다시 천고의 뒤에 흑마 타고 오는 초인이 있어   이 광야에서 목놓아 부르게 하리라   너무 꼰스럽나  보스만형 포에버  와칸다 포에버 
260,왠지   여자이이언맨이 
261,구독안하고 영상보는맛
262,                                                                           그리스신화의 발할라가 아니라    북유럽신화의 발할라 아닙니꽈아아아 
263,검 은 표 범 띵크 가시죠
264,                                                                           엔드게임에서 오코예가 바다밑에 지진이 났었다고 했었는데     아틀란티스는 그거랑 관련해서 나오지 않을까 생각이 드네요
265,구독 했어요 
266,발할라가 그리스 신화    북유럽신화 
267,형 냥이띵크 어때
268,아 뭐야 아직도 구독 안누르고있었네
269, 번째니까 구독해드립니다 후  
270,영화 좀 빨리 보자고 개인의 신체에 대한 자유 선택을 폄훼하나  한심한    공산당 중궈 영화나 봐라 
271,                                                                          토니 부활시켜주세요
272,주연을 싹 여자로 바꾸든 게이로 바꾸든 상관 없으니깐 재밌게 만들라고   
273,백신반대랑 별개로 뇌출혈이 가벼운 부상이라고 보도한 디즈니        정말 모르고 그랬을까 
274,마블 영웅 개인 영화가 많이 나왔으면 좋겠습니다  멀티버스니 이런것 보단   
275,무팅                                                                                 에 그리스 신화 속 발할라라고 했는데    그리스 신화는 대표적으로 올림푸스고     발할라는 북유럽신화 속에 나오는 곳이야       오딘  토르  로키 등이 북유럽 신화 아스가르드의 신들이고    제우스  포세이돈  하데스 등이 그리스 신화 속 올림푸스의 신들이야     실수한거겠지     그런거겠지 
276,구독 밖은  인  
277,발키리 그리스가 아니고 북구신화죠    
278,아   이거 보러 탈영해야되냐
279,아 형 미안 구독한줄 알았어
280,                                                                           북유럽 신화
281,  사상에 물든 헐리우드 망할수 밖에 없음 
282,개인적으로 블팬 를 기대합니다
283,진짜 하나도 기대가 안되는게 스토리 짜임새 없이   를 등에없은 흑인 파워로 성공했던 전작에    일반적인 연기는 몰라도 액션연기 젓가락 그 자체인 슈리를 주연급으로  엔드게임 팬서건틀렛 레이져 푸슝푸슝 씬 보고    뭐하자는건지       거기에 흑이언맨까지   환장의 콜라보                          최근 멀쩡한 캐릭터들    뭍혀서 망쳐가는 디즈니 마블 보면 그냥 제대로 한번 망해봐야 정신차리지 라는 생각밖에 안듬  
284,구독 두번 누르고 갑니다
285,와뽀띵크 
286,사고치기 아줌마 진짜 볼때마다 존나 킹받네
287,끝  없는 요청에 구독 했습니다 
288,이범띵크
289,근데 백신 안맞고 병 안걸린 사람들이 진정한 승리자지  난  번이나 맞은  패배자 
290,그러지 말아요  맞고 안 맞고는 별개로 맞거나 안 맞았는데       강요       한 사람들이 문제입니다  각자 이유로 맞던 안 맞던 그건 승자와 패자가 아닌 그냥 개인의 가치관에 따른 판단이죠 
291,음바쿠 킹능성있다
292,발키리야 토니좀 살려라
293,전체적으로 여성을 뜨워주는 느낌이네요
294,죽은사람다시살려서  블랙팬서될꺼면  티찰라살리는게좋지  킬몽거  가그냥  치료받고 와칸다에서   버키처럼거주중  이다  면   킬몽거가   대블랙팬서해도되지만   지금으로는   음바쿠나  슈리 둘중하나
295,                                                                           이런거 띄울 시간에 프로필 사진좀 바꿔라      
296,범배띵크로 합시다 그것만큼 찰진게 없소
297,흑범띵크 기대합니당   
298,발키리가 아연맨 부활시키면 되는거 아닌감
299,                                                                            그리스 신화  북유럽 신화 
300,   그만
301,로키 뜨냐 
302,칸다띵크   
303,왠지 와칸다에 스톰도 나올거같아여  
304,발할라 그리스신화가 아니라 북유럽신화 아닌가요
305,이 영상보고 바로 구독박았습니다     
306,왜 자꾸 흑인을쓰지  인종차별은 아니지만 영화 몰입감이  떨어지잖아
307,                                                                              이거 보니까 왠지   구독 안함으로 넘어가고 싶어진다      
308,모 야매룽다        
309,발키리야 그럼 우리 아연맨이랑 로키살려주면 안되겠니    
310,팬서띵크가 매우 기대되는구만유
311,   동양인써서 한국인대사주는거 일본도 마찬가지던데 일본말하는데 씨바 일본말이아님      
312,선생님 영상 가끔 보는 사람입니다만  백신안맞아서 영화제작은 좀 늦춰졌지만 트롤이라는 표현은 어떤이유에서건 안티백서분들에게 예의가 아닌거같습니다 선생님
313,       거창하게       안티백서       이러는게 좀 웃기긴하누
314,와칸다 포에버는 범배띵크가 딱이죠
315,무띵형 범배띵크 어때 
316,                                                                           그리스신화가 아니고 북유럽아닌가요 
317,발할라는 그리스신화가 아닌 북유럽 신화임  
318,발키리 배우  못생긴 에일리 닮았는데   
319,와포띵크 가자  
320,                                                                               순간 마우스 움직였네    
321,도대체가 누가 구독을 안한거야  하고 구독 버튼을 보니 나였군    
322,음바쿠 말고 은가누정도면 허브없이 블랙팬서 가능할듯
323,확실한건 인트로가 존나 슬플꺼라는거임
324,야옹띵크 어때    
325,와우 윤미래 홧팅
326,블랙팬서는 고양이과니까 야옹띵크    아니면 표범이니까 표범띵크
327,팬서가 표범이니까 표범띵크  
328,블팬띵크요 어때요 
329,구독안함 시
330,블랙판다   블판띵크   불판띵크 어때요 
331,솔직히이번마블영화는닥스 만기대된다
332,와칸다 포에버는 검표띵크 합시다
333,야옹띵크
334,  블랙띵크   팬서띵크   칸다띵크  음     
335,블랙팬서는 검정띵크로 갑시다  
336,형  오늘도 안 누르고 봤어 
337,블랙팬서 옛 배우 보고 싶어                            잘 지네고 있어요   블랙 팬서 옛 배우 님      
338,음바쿠 엔드 게임에서 칼찔려 죽지않았나 
339,네오띵크 어떠신가요 검은 고양이 네오띵크
340,                                                                             백신 미접종이 트롤짓       백신 접종은 개인의 자유 입니다  
341,형 나 멤버십 어케 갱신하는지 몰라서   
342,구독하기엔 목소리 말투가 부담  누굴 따라하는거 같은  
343,형 항상 영상 잘보고 있어  스파이더맨때문에 이 채널을 우연히 알게되면서 거의 한    달정도 이 채널 영상을 엄청 열심히 챙겨봤지만 아직 구독은 안했어          앞으로 재밌는 스파이더맨 영상도 많이 만들어줘 
344,솔직히 나도 구독 안하고 봄   
345,무띵님 피스메이커 리뷰는 안하시나요 
346,살구치기조와하는애드리라구를 극장에서 볼때 왜 멋대로 자막을 지워서 못알아듣게하지 싶었다
347,까맣다
348,백신을 안맞았다고 트롤이라         표현참  
349,진심   
350,닥터 멀티버스로 착한 킬몽거    데려오거나 사실 안죽었고    개과천선했다는 식이거나        앤트맨이랑 시간여행 해서    허브 하나 쎄벼오고 슈리가 되거나        음바쿠한테 준다거나        새로운 인물의 등장 혹은        채드윅의 빈자리를 다른 연기자로    머쓱타드하게 이어가게 하거나        아니면 가봉팬서 오바메양뿐이다
351,채드윅이아닌 블랙팬서는 앙꼬없는팥빵과같다
352,그냥 발키리가 킬몽거 부활시켜주고 블랙팬서 하면 안되냐    
353,와칸다 포에버는   이봄베 띵크   는 너무 기니까       블랙팬서   즉 야옹띵크로 하죠    
354,표범띵크  
355,그냥 빨리 보고싶다  
356,백신 안맞는게 죄냐      
357,내부의적이 많은 디즈니
358,이범배띵크 어때요  우리 채드웍 보스만 배우님 잊지말지는 의미로
359,까만띵크나 야옹띵크로 하자
360,표범띵크 어때 
361,티찰라 포레버
362,나는 뭔가 음바쿠가  대 블랙팬서 될 것 같음 원작처럼 망토에 블랙팬서 슈트입을꺼 같은데  
363,그래도 블팬띵크  
364,               
365,블랙띵크말고 다른 이름이 있나 
366,블랙띵크    팬서띵크    어흥띵크
367,요즘 너무   때문일까 흑인중심으로 굴러가는 마블이라 손이 안가네 정말   
368,백신접종이 트롤짓임 
369,킬몽거 데려와 
370,네이머 역에 제이슨모모아가 딱이네요
371,아쿠아맨  아직하고있으니
372,구  구독 눌러    해서 누  눌렀습니다 
373,형 뽀에버띵크 어떰  
374,블팬띵크                                                                             
375,구독자입니다 백신 안 맞었다고 트롤짓이라 하시는건 조금 그렇네요
376,와칸다포에버    와포띵크
377,오늘도 끝까지 다 보고 갑니다  저는 구독자 입니다 
378,스파이더맨이야 토비 형 데려와서 떡상 했다쳐도 사실상 엔드게임 이후 볼만했던 마블 컨텐츠가 있었나    디즈니가 진짜 애매한 시점에 마블을 인수한거 같다   디즈니플러스 들어가도 볼게 없음   
379,구독좀 해라      야근이 얼마나 힘든데   
380,구독   안눌러        왜      누르면 취소 되거덩  
381,                                                                           와 깐다띵크 
382,무띵님 블랙팬서 는 포에버띵크 어떨까요 
383,무비띵크님 더 배트맨 레고 나왔어요
384,저 잘 알지도 못하는 여자 빼고           우리가 알고있는 최고의 여전사 가 있잖아                  다나이 구리라         워킹데드 최고의 여전사  그 여성 으로 교체 해버리지             트찰라 도 바뀌는데           트찰라 역 에  킬 몽거  데려오고 다나이 구리라 전면에 나서면          훌륭하지            저 민폐 여성은 빼버리고              백신이 아무리 자유라고 하지만 영화 촬영에 지켜야할 규칙  이라는게 있어            톰크루즈 가 아주 훌륭하게 규칙  을 지켜서  이름 을 널리 알리셨지           제발 톰 크루즈 형님 께서         자연사        하시길     
385,표범띵크 어때요
386,안녕하슈    에 남자 입니다
387,블팬띵크 출발    드  가자 
388,백신 맞고 부작용으로 죽는 배우는 없길 바라며
389,첨에 구독 비율 보여주는데 그거 보면 꼭 구독 취소하고 싶넼 
390,사람 부활 가능하면 아이언맨 부활    
391,단체활동하는데 백신을 왜안맞아서    
392,걍 발키리는 이제 메르시 되는거
393,야옹띵크                                                                                                                                                                                                                                                            
394,블랙 띵서
395,이렇게 열심히하는데 구독좀 해줘라
396,음바쿠  슈리 둘다 비주얼이 너무 블팬 맡을 관상이 아닌것처럼 느껴짐  차라리 킬몽거가 좀더 잘 어울림    지극히 개인적인 느낌이긴 하지만     
397,형 와칸다 포에버는 띵크 포에버 어때 이번엔 색다르게 반대로 하자고
398,누르라니깐 누르기 싫어지네 겔겔겔겔
399,와포띵크 어떱니까 형님
400,냥이띵크 떳냐    
401,솔직히 가오갤이 젤 재밌어서 빨리 나왔으면   
402,백신 안맞는건 자기자유인데 남한테 피해는 주지말자 
403,블팬띵크  블랙띵크  표범띵크  깐다띵크  칸다띵크  검은띵크  검표띵크  와칸띵크  에버띵크
404,와뽀띵크
405,중간에 애교같은거 넣는거 너무 싫다
406,백신 안 맞으면 트롤이라고 
407,                                                                                   블랙 팬티     의 팬티띵크    또는        블랙 핑크     의 블핑띵크
408,발키리가 능력을 얻는 건       아스가르드의 왕      이 되면서 얻은 특수한 권능이려나     그나저나 왜 아직 나오지도 않은 아이언하트를 까는 댓글이 이렇게 많은 거죠   딱히 배우가 논란이 될 법한 발언을 한 적도  제가 아는 한  없던 것 같고  이제까지 나온     호크아이    나     팔콘 앤 윈터 솔저    도 아쉬운 부분은 있을지언정 후계자 계승만큼은 기가 막히게 잘 했던 것 같은데       개인적으로 가장 이상적인 시나리오는 성장한 할리 키너가       아이언하트      의 전속 메카닉이 되고  리리 월리엄스는       아이언하트      의 파일럿 역할을 맡아 둘이 함께       아이언하트      가 되는 것이라고 생각합니다 
409,음       백신 미접종자를 트롤이라고 표현한 부분은 아쉽네요 
410,어벤져스 나오는거맞냐말이너무길어노이로제걸릿거같아제발그만해나무서워마블말고넷플릭스드라마해라
411,    난 그래도 안할래 구독안해    그냥볼게
412,음바쿠 피지컬은    음  블랙베어     음    
413,형 와뽀띵크 어떰 
414,형자꾸 구독 구걸하면 안해줄꺼임   
415,   만 퀄인데 구독자 폭망이네    구독박아라
416,히어로 왜다 여주로 바뀌는느낌이지   나중에는 전부  여자 히어로 로 바뀔 기세네  
417,표범띵크
418,와뽀띵크 어때 무띵아 
419,백신을 맞는것은 개인 선택인데 왜 그걸 잘못된 행동인것 마냥 말하시나요
420,블랙팬서는 냥이띵크가 좋을돗
421,블팬띵크
422,                                                                                    냥이 띵크          
423,언제부턴가 꼬마 옆에서 춤을 추게된 어둠의 댄서      
424,애옹띵크
425,블랙띵크 기대할게요
426,문득문득 생각남    토니의 친구 로디 배우가  에서  갈때 바뀐거  
427,형 나 구독 박았어
428,검냥띵크 
429,블랙삥끄     
430,범배띵크  
431,흑표딩크
432,싯팔 아이언하트 말고 할리 키너 달라고 샵샠들아  
433,별로 관심없었는데 백신거부하는거보니 깨어있는 사람이었네 화이팅
434,검고띵크 
435,구독해드렸습니다  
436,제 예상이지만 노웨이홈에 일렉트로가      흑인 스파이더맨도 있겠지      라고했는데 이게 마일드 모렐레스 스파이더맨이    로나올수있는것 이미 확정된 스파이더맨 유니버스 의 홍보라는 떡밥이라고 생각되네요  이미 말하셨나   
437,노 슈리 해피 와칸다
438,범배띵크   
439,                                                                           진짜 대사가 뭐였을까 궁금하다   
440,                                                                          아스란이 여기에도 나오다닠            월  일은 빼빼로 먹으면서 블랙팬서를 보면되겠군요 
441,와뽀띵크    기엽자나
442,냥냥띵크 가주아  
443,와카띵크로 가자     
444,근데 참다참다 이런말 하기 좀그래서 안할라 하긴 햇는데 슈리 너무 못생겼어요   
445,후   구독 해드림
446,와포띵크
447,                                                                           영상에서 딱    초 나오는데 제일 중요한 부분임
448,블랙팬서는 포에버띵크 어때 형   꼭 두글자일 필요 없자나     채드윅 형 기리는 겸   
449,형 구독박았어
450,형 표범띵크어때
451,대충 블랙 팬서 포지션 간지 주동적 남캐 은 당분간 음바쿠가 가져가나  블랙 팬서 칭호는 공석    멀티버스 대환장 일어나면 착하게 와칸다 계승한 킬몽거가 넘어옴  얘는 원래 그쪽에서 이미 블랙 팬서임
452,블랙띵크로 합시다   
453,한국말하는 수준이 아직도 분노의질주 이네
454,블랙팬서   검은고양이니까 네로띵크 
455,무띵이형 여자한테 고백할때도 잔망스럽게 고백해  나 너 좋아해도 되는 거냐앙  
456,와칸다 뽀에버 소식은 표범 띵크 어떻습니까   
457,표범띵크           
458,자꾸     보여주니까 더 구독하기 싫어지네   
459,야옹띵크 어때요 
460,형 그냥 간단하게 블랙띵크로 하자
461,야옹띵크요 
462,근데 블랙펜서 배우 죽었는데 찍을수있음 
463,냥이띵크 
464,                                                                           검표띵크 
465,블랙띵크    
466,와칸다포에버는 표범띵크 가자  
467,마블은   로 망할듯
468,난 분명 다른걸 유튜브 보러 들왔는데 형이 있네   
469,블랙 띵크 어떠심 
470,외칸다니꺼 줄여서 깐다띵크 가자 형
471,                                                                           네로 링크로 아쟝
472,야 다들 형 구독좀 해줘
473,띵크님 사소하지만    발할라는 그리스신화가 아니라    북유럽신화입니당     토르나 발키리자체가 북유럽신화이듯    발할라도 북유럽신화에있어용
474,와칸다 포에버는 와뽀띵크하면 되겠네    근데 네이머 발목에 날개 왤케 궈여워    꼭 무띵형 같네       발킬리 부활 능력 있으연 우리 아이언맨 형님 살려내    블랙 누님도    
475,범베띵크
476,냥이띵크   
477,어 뭐야 나 구독 안했었구낭
478,구독은 안하지만 항상 재밌게 보고있숩니다  
479,형     자기 가치관에 안티백서를 비판할 순 있어도  비난하고 조롱하는 모습은 실망이야
480,형 블랙띵크 어떠냐   
481,솔직히 블랙팬서 별로 보기 싫음   채드윅 없는 블랙팬서는 기대  도 안됨 뭐 슈리가  대 블랙팬서 되겠지  
482,영웅들이 죄다 여성 흑인으로 변하네   
483,티찰라가 안나오는건 슬프지만   엔드게임서 오코예가 떡밥 뿌린것 처럼 아틀란티스랑 와칸다랑 전투하는거 나오려면 분명 새로운 블랙팬서는 필요흠 
484,움바쿠 코인 떡상할려나 
485,    중 제가 들어가 있네요    
486,형 블랙팬서믄 야옹띵크어때 
487,                                                                           무띵이형  발할라는 그리스 신화가 아니라 북유럽신화 아냐  토르 발키리들이 북유럽기반 이잖앙
488,형 구독                   한번 더누르면 빨간색 되는데 눌러 
489,다른차원에 이터널스가 나와서 이터널스 나올듯
490,형    그냥 형 이름을 마블띵크로 바꾸는게 어떨까 
491,눈팅한 년 구독박습니다
492,형  블팬띵크 어때 
493,음바쿠가 슈트 입으면 블랙 팬서가 아니라 블랙 고릴라가 되는거야    
494,응 구독안할꺼야
495,와 영상 올라올 때마다 계속 보고 있어서 구독 되있는 줄 알았는데 안되어 있었네요   죄송합니다 
496,블팬은 왤케 기대가 안되냐   
497, 트      형 아무리 사람들이 구독 눌러줘도 저 비율은 거의 고정이야    구독자 조회수  늘어나는 만큼 처음 보는 사람들도 늘어나니깐     오히려 구독안함 비율이 줄어들수록 더이상 추천이 안 된다는 뜻이니까 저 비율에 너무 실망하지 마       이미 아는 사실이라면 미안   내가 편집 맡은 유튜브 주인장도 저걸로 안타까워하길래 적어봤어
498,블팬띵크 어떠신가요
499,흑표띵크 기대합니다   
500,악으로 깡으로 구독안한다
501,하트허브 없어서 누가 블랙팬서를 하더라도 초인은 안될거고 어떻게 커버할지   
502,슈리가 백신을 거부한다         똑똑한 여배우 구만  
503,중간마다 이상한목소리로 드립치는거 안하면안되요   
504,발키리 배우가 인터뷰에서 언급한 내용은 원작의 발키리 능력이라고 정정했지 않나요 
505,                                                                            냥이띵크어떰 
506,킬몽거 데려오라고    슈리는 참아줘   
507,와포띵크  로 하면 좋을것 같네요
508,사고 치기 좋아하는 애들이라고     너같이 
509,냥냥띵크
510,팬서띵크 가자
511,                                                                           그리스 신화가 아니고 북유럽 신화인데   
512,                                                                           표범띵크 
513,끝 타이밍 맞췄다      야호  
514,퓨마팅크
515,표범띵크 가즈아
516,와따띵크 와까띵끄 와깐따삐야
517,구독햇습니다  여태 안눌럿엇네요  
518,흑표띵크도 존버 가즈아   
519,와카띵크
520,핑크팬   를 핑크 팬더라고 했었으니까 팬더띵크 가즈아
521,                                                                           발키리 쇠똥구리 헤어스타일 너무 안어울리네 
522,                                                                           영화 설정 캐릭인 와칸다 흑인의 서툴은 한국어 보다            한국 황인 한국어 발음이 더구리지 못알아 먹겠네 
523,톰크루즈가 아이언맨으로 출연햇다면 라이트 이여자는 귀싸대기맞았다
524,띵크형 더배트맨  차 예고편 나왔어    쉬지말고 언능 일해야지         항상 고마워 구독하고 잘보고있어 
525,불팬띵크 
526,                                                                           존나웃기네 진짜      
527,표범띵크
528,저 여지껏 구독한줄 알았는데 안했었네욬   오늘 구독 박았습니다 죄송합니다   
529,표범띵크                                                                                                                     
530,표범띵크 어때 
531,유작인게아쉽다  
532,와칸다 포에버는 당연히 블팬 띵크지
533,블랙팬서는 깜장고냥이   깜냥띵크로 하자요     
534,형   형이 자꾸 구독하라고 할때마다 뭔가 오기가 생겨서 안하게되        
